대분류,중분류_1,중분류_2,소분류_1,소분류_2,대표질문,유사표현,답변,답변 출처 (URL)
,,,,경력단절여성취업지원,경력단절여성취업지원에 대해 알려줘,"여성새로일하기센터에 대해 알려줘
경력단절여성 취업지원 센터가 있어?","여성새로일하기센터 운영
사업개요
목 적 : 경력단절여성 취업지원 전담 ONE-STOP 여성종합취업지원센터 운영
사업기간 : 연중 (2009. 2. 여성가족부 최초지정)
추진근거 : 경력단절여성등의 경제활동촉진법
사업추진
사업운영 : 1개 센터(보령여성새로일하기센터)
주요사업 : 여성인턴제,사후 관리지원, 취업설계사 운영, 직업교육훈련과정 운영 등
보령여성새로일하기센터
041-935-9663",https://www.brcn.go.kr/welfare/sub03_04.do
,,,,아이돌봄서비스_아이돌봄지원사업(일반),아이돌봄지원 사업에 대해 알려줘,"아이돌봄지원 이용방법 알려줘
아이돌봄지원 어떤걸 지원하나요?
아이돌봄지원 어떤종류가 있나요?","사업기관
보령시 건강가정지원센터(돌보미 연계 및 서비스 제공)

이용문의
위치 : 보령시 중앙로 15 인승빌딩 202호
전화 : 041-935-0131
팩스 : 041-933-0132
홈페이지 : https://idolbom.mogef.go.kr
신청방법
아이돌봄지원사업 홈페이지(https://idolbom.mogef.go.kr)에 회원가입
정부지원-양육공백 입증자료 및 소득증명 자료 준비하여 읍·면·동 주민센터로 신청
보령시 건강가정지원센터 아이돌봄지원사업팀으로 이용예약",https://www.brcn.go.kr/welfare/sub03_05.do
,,,,아이돌봄서비스_사업내용,아이돌봄지원 돌봄 종류를 알려주세요,"아이돌봄지원 시간제돌봄은 뭐에요?
아이돌봄지원 종합형돌봄은 뭐에요?
아이돌봄지원 종일제돌봄은 뭐에요?
아이돌봄지원 보육교사형 돌봄은 뭐에요?","사업내용
시간제 돌봄
부모가 올 때까지 임시 보육, 놀이활동
간단한 급·간식 서비스
보육시설 및 학교 등·하원 서비스
안전·신변보호 처리 등
가사활동 제외
종합형 돌봄
시간제서비스 외 돌봄아동과 관련된 가사 서비스 제공
종일제 돌봄
이유식,젖병소독,기저귀갈기, 목욕 등 영아 돌봄과 관련된 활동전반
(건강, 영양, 위생, 교육 등)
양육수당과 중복 지원 불가
가사활동 제외
보육교사형 돌봄
보육교사 자격증을 소지한 아이돌보미의 월간활동 계획에 따른 영아 표준 돌봄 프로그램 서비스 제공",https://www.brcn.go.kr/welfare/sub03_06.do
,,,,아이돌봄서비스_이용요금,아이돌봄서비스 이용요금 알려줘,"아이돌봄서비스 얼마에요?
아이돌봄 서비스 시간제는 얼마에요?
아이돌봄서비스 종일제는 얼마에요?","유형 소득 기준(‘15년)
(전국가구 평균소득,
4人 기준) 시간제(6천원/시간) 종일제(월120만원/200시간)
정부지원 본인부담 0세 1세
정부지원 본인부담 정부지원 본인부담
가 50% 이하
(월 248만원) 4,500원 1,500원 84만원 36만원 78만원 42만원
나 50~70% 이하
(월 348만원) 2,700원 3,300원 72만원 48만원 66만원 54만원
다 70~100% 이하
(월 497만원) 1,5000원 4,500원 60만원 60만원 54만원 66만원
라 100% 초과 - 6,000원 48만원 72만원 42만원 78만원

https://www.brcn.go.kr/welfare/sub03_05.do<표 참조>",https://www.brcn.go.kr/welfare/sub03_05.do
,,,,건강가정사업_일반,건강가정사업 이용문의 ,"건강가정사업이 뭐에요?
건강가정사업 문의하고 싶어요","가족문제의 예방과 해결을 위한 가족돌봄나눔사업, 생애주기별 가족교육사업, 가족상담사업, 가족친화문화조성사업, 정보제공 및 지역사회네트워크 사업추진 하고 있으며 일반가족은 물론 한부모가족,
조손가족, 다문화가족, 일탈청소년가족, 군인가족, 수용자가족, 맞벌이가족, 이혼 전후 가족 등의
다양한 가족지원을 위한 상담, 교육 및 문화프로그램이 결합된 맞춤형 통합서비스를 제공

이용문의
전화 : 041-934-3133 보령시건강가정지원센터
상담전용전화 : 041-934-0033
행복누리공동육아나눔터 : 070-7730-1589
팩스 : 041-933-0132
센터 홈페이지 : boryeong.familynet.or.kr
센터 다음카페 : http://cafe.daum.net/brhf
행복누리공동육아나눔터 카페 : http://cafe.daum.net/boryeongfamily",https://www.brcn.go.kr/welfare/sub03_06.do
,,,,건강가정사업_건강가정 사업영역,건강가정사업엔 뭐가 있나요?,건강가정사업의 영역을 알려줘,"건강가정사업 영역엔 6가지가 있습니다.
가족돌봄나눔 -모두가족봉사단,모두가족품앗이,아버지- 자녀가 함께하는 토요프로그램,아이돌보미사업,공동육아나눔터

가족교육- 생애주기별(조)부모교육 _예비/신혼기 부부, 결혼준비교육학년 전/학년기, 청소년기 자녀를 둔 부모교육, 중년 개, 노년기 교육

남성대상 교육 _ 아버지교육, 남성대상 놀봄참여

가족상담- 가족(집단)상담,이혼 전/후 가족상담,부모자녀 상담,부부상담,재혼가족상담,고부갈등상담,가족관계에 의한 갈등상담 등

지역사회연계-지역사회 협의체 연계,센터사업 유관기관 연계

다양한 가족 통합지원-조손가족,맞벌이가족,군인가족

가족문화-가족사랑의 날 프로그램,가족여가 프로그램,지역참여 및 나눔행사,건강가정 관련 캠페인 등 이 있습니다",https://www.brcn.go.kr/welfare/sub03_06.do
,,,,여성친화도시조성,여성친화도시가 무엇인가요?,"여성친화도시 설명해줘
여성친화도시에 대해 알려줘","지역발전에 남녀가 동등하게 참여하고, 여성ㆍ가족친화적인 도시공간을 재조명하고 일상적인 삶의
불편을 없애고 안전과 편리, 참여와 소통, 배려가 보장되는 시민 모두가 행복하고 살기좋은
여성친화도시 조성 사업
여성친화도시 4대 가치
형평성 : 지역사회 참여 기회 및 일상생활의 안전과 편의 형평성
돌봄 : 아동, 노인, 장애인 돌봄을 시민들과 공유하며 여성의 일과 가정생활 양립
친환경 : 생태적이며 지속 가능한 방향으로 삶을 촉진하는 지역발전
소통 : 시민들과 대화하고 의견을 청취하여 민주적이며 개방적인 열린도시
시민 모두가 행복하고 살기좋은 여성친화도시 조성
사업기간 : 2014년 ~ 2018년
추진체계
1단계 : 여성친화도시 조성 인프라 기반 구축, 여성가족부와 여성친화도시 지정(2013.12.2)
2단계 : 여성친화도시 조성을 위한 과제 추진(63개)
3단계 : 여성친화도시 조성사업 평가, 기존 사업 개선 및 신규사업 발굴
추진영역 : 6개영역(안전, 돌봄, 건강, 문화, 성평등, 일자리)
여성 가족의 삶에 영향을 주는 사업에 성인지 관점 반영 추진으로 시민의 삶의 질 향상",https://www.brcn.go.kr/welfare/sub03_07_01.do
,,,,여성친화도시조성_조성사업,여성친화도시조성사업 어떤 일을 했나요?,여성친화도시조성사업 성과 알려줘,https://www.brcn.go.kr/welfare/sub03_07_04.do,https://www.brcn.go.kr/welfare/sub03_07_04.do
,,,보육,성별영향분석평가_성별영향분석평가란,성별영향분석평가가 뭐에요?,"성별영향분석평가의 목적은 뭐에요?
성별영향분석평가에 대해 알려주세요
","법령ㆍ계획ㆍ사업 등 정부의 주요 정책을 수립 시행하는 과정에서 여성과 남성의 특성과
사회ㆍ경제적 격차 등의 요인들을 체계적으로 분석평가함으로써 정부 정책이 성평등의 실현에
기여하도록 하는 제도
성별영향분석평가의 목적
정부 정책이 성별에 미치는 영향을 체계적ㆍ종합적으로 분석평가하여 실질적인 성평등 실현
정책의 성차별적 원인을 분석평가하여 합리적으로 개선함으로써 효율적인 정책추진 체계 확립
정책 수요자의 성별 특성에 기반한 정책실행으로 시민 만족도 제고
법적 근거
성별영향분석평가법(이하""법""이라고 함) 및 성별영향분석평가법 시행령(이하""영""이라 함)
양성평등기본법 제15조[시행 2015. 7. 1]",https://www.brcn.go.kr/welfare/sub03_08.do
,,,,성별영향분석평가_사업내용,성별영향분석평가 사업내용이 뭔가요?,성별영향분석평가 사업내용을 알고싶어요,"성별영향분석평가 확대 추진
사업기간 : 연중
대상과제 : 법령, 사업, 계획 분야
내용 : 성인지 관점을 적극 반영, 정책 개선
공무원 성별영향분석평가 교육
교육횟수 : 연2회 (200명)
내용 : 성별영향분석평가 제도의 이해 및 실무사례 등",https://www.brcn.go.kr/welfare/sub03_09.do
,,,,보육사업_영유아 보육료 및 양육수당 지원,영유아 보육료 및 양육수당 지원에 대해 알려주세요,"영유아 보육료에 대해 알려줘
영유아 양육수당에 대해 알려줘
영유아 양육수당 지원금은 얼마야?","2013년 3월부터 보육료 전면 무상 보육을 실시하고 있으며, 보육기관을 이용하는 영유아에게는 아이행복카드를 통해 보육료를 지급하고, 어린이집·유치원·종일제 돌봄 서비스를 이용하지 않는 만0-5세 가정양육아동에게는 양육수당을 지원하여 부모의 양육부담을
경감하고 보육료 지원아동과의 형평성을 제고하고 있다

보육료 및 양육수당 지원 단가
https://www.brcn.go.kr/welfare/sub04_01.do(표참고_)
구 분 출생연도 어 린 이 집 유치원 양육수당 (미이용시)
계 보육료 기본보육료
만0세 2014.1.1. 이후 778,000 406,000 372,000 - 200,000
만1세 2013년도 537,000 357,000 180,000 - 150,000
만2세 2012년도 413,000 295,000 118,000 - 100,000
만3세 2011년도 220,000 220,000 - 220,000 100,000
만4세 2010년도 100,000
만5세 2009년도 100,000
※ 어린이집: 보육료-아이행복카드 결제, 기본보육료-어린이집 지원/ 유치원 : 아이행복카드",https://www.brcn.go.kr/welfare/sub04_01.do
,,,,보육사업_어린이집 지원 현황,어린이집 지원 현황에 대해서 알려주세요,"어린이집 지원 내용은 뭐가 있어?
어린이집 지원 사업명은 뭐가 있어?","매년 어린이집의 보육활동의 질적수준 제고를 위하여 보육교사 인건비, 교재교구비 지원 등 운영 경비를 지원하고 있으며, 이를 통해 보다 질 높은 보육서비스를 영유아에게 제공하고자 노력하고 있습니다.

어린이집 지원 현황
https://www.brcn.go.kr/welfare/sub04_01.do(표참고_)
사 업 명 사 업 대 상 사 업 내 용
평가인증민간어린이집 차액보육료 법정(기초수급)아동 중
민간이용자/150명 국공립과 민간시설이용차액 월2~4만원지원
평가인증시설 보육도우미 평가인증어린이집 월 68만원
평가인증어린이집 난방비지원 평가인증어린이집 년 20만원
대체교사 인건비 대체근무 교사 일 4.5만원
행복어린이집 운전원인건비 행복어린이집 운전원 월 150만원
장애아전담시설 차량운영비 행복어린이집 운행차량 월 650천원
교재교구비 평가인증어린이집 교재교구 구입 현원별 차등지원50-120만원
농촌보육시설차량 운영비 농촌소재어린이집 월 200,000원
어린이집우수농산물 급식비 어린이집이용 영유아 1인 1일 150원
보육돌봄서비스 인건비지원 어린이집근무
보육종사자 110명 배치반별(영아,유아) 인건비 30%,80%,100%
급간식비지원 어린이집이용 영유아 1인당/ 1일/ 300원
공공형어린이집지원 공공형어린이집 운영비지원(253만원-875만원)
농어촌법인 어린이집지원 농어촌법인어린이집 개소당/월평균 23만원
시간연장형어린이집 운영비지원 운영비지원 개소당/연30만원",https://www.brcn.go.kr/welfare/sub04_02.do
,,,,보육사업_보육교사 지원,보육교사 지원은 어떤게 있나요?,"보육교사 지원 내용에 대해 알려줘
보육교사 지원 사업대상은 누구야?
보육교사 지원금은 얼마야?","열악한 환경에서 근무하고 있는 보육교사의 사기진작을 위하여 매월 각종 수당을 지원함으로써 보육교사의 복지 증진과 더불어
보육서비스 향상에도 기여하고 있습니다.

보육교사 지원 현황
https://www.brcn.go.kr/welfare/sub04_01.do(표참고)_

사 업 명 사 업 대 상 사 업 내 용
처우개선비(市) 민간․가정 보육교사 월 100,000
장애아통합보육운영수당 장애아 보육하는 보육교사 월 50,000
평가인증어린이집 영아반수당 평가인증어린이집 영아반 보육교사 월 30,000
처우개선비(道) 어린이집 보육교직원 전체 원장 150,000 / 교사 100,000
교사근무환경개선비 어린이집 보육교사 전체 월 170,000
만3-5세 담 임 수 당 만3~5세 누리과정 담임교사 월 300,000",https://www.brcn.go.kr/welfare/sub04_03.do
